"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
68, 2.144699990750000e-01, -5.813197420944613e-02, 9.497185753755631e+05, -1.029319527285357e+05, 2.205018592909385e+06, 1.070395354852815e+03, 0.000000000000000e+00, 0.000000000000000e+00, 3.878787958597675e+05
69, 2.016600072380000e-01, -5.746811193675738e-02, -9.528408644415039e+05, -4.211312347679050e+05, -9.436993965723367e+05, 2.167506172260422e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.012252639302631e+06
70, 1.891400069000000e-01, -5.670228146432130e-02, -9.441414060917770e+05, -4.792984049871323e+05, -1.543835742003749e+06, 2.298844981869656e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.413820254164180e+06
71, 1.769299954180000e-01, -5.583513598033686e-02, -7.868666553026601e+05, -4.328662935674917e+04, -1.803673403529455e+06, -4.349632972958383e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.632999327200580e+06
72, 1.650400012730000e-01, -5.486709202536137e-02, -1.019436268686245e+05, -1.187470585361605e+05, -2.146898845027382e+06, -1.377435902198372e+02, 0.000000000000000e+00, 0.000000000000000e+00, -3.900716051786546e+04
73, 1.534900069240000e-01, -5.379977779145956e-02, -8.273752781893822e+05, 5.560884255428795e+04, -2.046699660503306e+05, -4.862893973425749e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.789048374514414e+05
74, 1.422899961470000e-01, -5.263443049277360e-02, -8.807125035792267e+05, 5.218779717666691e+04, 2.198544171191676e+04, -2.909655208807839e+02, 0.000000000000000e+00, 0.000000000000000e+00, -8.909487713148789e+05
75, 1.314399987460000e-01, -5.137133628795417e-02, -9.217830399103803e+05, -2.622430177503659e+05, -1.023975770674996e+06, 8.653862481815376e+02, 0.000000000000000e+00, 0.000000000000000e+00, -6.212614155730958e+05
76, 1.209499984980000e-01, -5.001187382363489e-02, -8.886421216011265e+05, -1.583686949762412e+05, -6.702257936098177e+05, 5.164066876791068e+02, 0.000000000000000e+00, 0.000000000000000e+00, 5.972708960137537e+04
77, 1.108499988910000e-01, -4.856066993422563e-02, 4.760187831296878e+05, 5.368386207156339e+04, 3.448232477545034e+05, -2.577997811282831e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015314801638924e+06
78, 1.011300012470000e-01, -4.701715290498424e-02, 5.472069079128960e+05, 1.566091749933122e+04, 4.430802548431958e+05, 3.420472613923998e+02, 0.000000000000000e+00, 0.000000000000000e+00, -9.039376449835312e+04
79, 9.181000292300000e-02, -4.538527151431038e-02, 8.539524668818936e+05, 2.002762141077062e+04, 1.900733864605085e+05, 7.445889158510765e+01, 0.000000000000000e+00, 0.000000000000000e+00, 5.069552611931904e+05
80, 8.290000259900000e-02, -4.366791468532204e-02, 7.347585056383602e+05, 1.199432043732233e+04, 1.058628494078599e+05, -1.467054840541864e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.593484323103560e+06
81, 7.440000027400000e-02, -4.186607976498817e-02, -8.857264378130825e+05, 1.008128163748355e+06, 1.087725131105204e+06, -3.232432035688626e+03, 0.000000000000000e+00, 0.000000000000000e+00, 3.598553937915183e+06
82, 6.633000075800000e-02, -3.998513962421356e-02, 9.428882737459680e+05, 1.513787900762079e+06, 2.138870061492983e+06, -4.403158165818685e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.112500462523677e+05
83, 5.869000032500000e-02, -3.802635805630503e-02, 9.304313508169694e+05, 5.175410131828837e+05, -2.620876764227535e+05, -3.449815401570695e+03, 0.000000000000000e+00, 0.000000000000000e+00, -5.504993128449169e+05
84, 5.149000138000000e-02, -3.599337852580232e-02, -1.916259487902627e+05, 5.413759638374145e+05, -2.765968154583911e+05, -3.567754236079196e+03, 0.000000000000000e+00, 0.000000000000000e+00, -2.324947506652592e+06
85, 4.473999887700000e-02, -3.389028465845557e-02, -4.943117961745715e+05, 3.427574292998928e+04, 1.655905478968332e+05, 8.661925108878845e+01, 0.000000000000000e+00, 0.000000000000000e+00, -2.859487763468954e+06
86, 3.844000026600000e-02, -3.171811260404538e-02, -4.373747060128702e+05, 3.402895399945183e+04, 1.944383702507311e+05, 1.771375662451998e+02, 0.000000000000000e+00, 0.000000000000000e+00, -3.830881535975144e+05
87, 3.260000050100000e-02, -2.948109446637338e-02, -8.378772269774624e+05, 2.020073950003559e+04, 2.315138029873840e+05, 5.191098177456038e+02, 0.000000000000000e+00, 0.000000000000000e+00, -2.468847676352715e+06
88, 2.723000012300000e-02, -2.718419978786347e-02, -8.488038946019092e+05, -1.056667575801023e+04, 2.540380229421653e+05, 7.542058205098293e+02, 0.000000000000000e+00, 0.000000000000000e+00, 5.441768966230241e+04
89, 2.232000045500000e-02, -2.482329437156798e-02, -4.298747076798215e+05, -5.252809067431937e+05, -8.574271302755686e+05, 2.203007785904663e+01, 0.000000000000000e+00, 0.000000000000000e+00, -3.361301149098409e+04
90, 1.789999939500000e-02, -2.241364555514381e-02, -2.831096990279278e+05, -1.079912000521225e+05, -2.230638505591105e+05, -1.320109787763266e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.667414199379072e+06
91, 1.394999958600000e-02, -1.994492353858276e-02, -3.832991974945952e+05, -1.572463101407968e+06, -2.063971463136475e+06, -1.236289527754338e+03, 0.000000000000000e+00, 0.000000000000000e+00, 2.641076852575181e+06
92, 1.049000024800000e-02, -1.742916196961543e-02, -3.305920021051251e+05, -1.356393385868466e+06, -1.883741562078570e+06, -1.598456101205337e+03, 0.000000000000000e+00, 0.000000000000000e+00, -2.447420512477480e+06
93, 7.519999985000000e-03, -1.486756313872443e-02, -8.270230899009467e+04, -2.762526826030042e+06, -2.264379945643887e+06, 2.069932023183339e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.630082717662817e+06
94, 5.040000193000000e-03, -1.226032473458219e-02, -8.016835822152350e+05, -3.737681131962498e+06, -2.931517789121945e+06, 1.525786452840029e+03, 0.000000000000000e+00, 0.000000000000000e+00, 2.139505941534371e+05
95, 3.049999941000000e-03, -9.605565346412577e-03, -7.796149529887822e+05, -4.691983339549537e+06, -2.591515584146422e+06, -9.735718479821701e+02, 0.000000000000000e+00, 0.000000000000000e+00, 6.817062012034258e+05
96, 1.560000004000000e-03, -6.917517506923035e-03, -6.786153555400360e+05, -1.240334478823648e+07, -7.195199865579749e+06, 4.684973413647352e+02, 0.000000000000000e+00, 0.000000000000000e+00, 6.495425173607708e+05
97, 5.600000150000000e-04, -4.173159738460802e-03, 8.797994275100949e+05, -1.356805937908138e+07, -6.606672704105705e+05, -5.466492558929587e+03, 0.000000000000000e+00, 0.000000000000000e+00, 3.429199313854236e+06
98, 5.999999800000000e-05, -1.375329724321098e-03, 3.864749485864129e+04, -2.309280134493386e+07, -7.795673561701551e+05, -2.044030719712421e+04, 0.000000000000000e+00, 0.000000000000000e+00, -7.400712930532187e+04
99, 0.000000000000000e+00, 0.000000000000000e+00, 8.920341527214531e+05, -3.169849967163225e+06, 9.420783524685283e+05, -8.084697262348506e+03, 0.000000000000000e+00, 0.000000000000000e+00, -6.567913672622434e+05
100, 5.999999800000000e-05, 1.375329724321098e-03, 9.989349321486207e+05, 2.523634571820408e+06, 1.917138322757213e+06, -2.175675724657873e+04, 0.000000000000000e+00, 0.000000000000000e+00, -3.342651735525448e+06
101, 5.600000150000000e-04, 4.173159738460802e-03, -5.339046616404137e+05, -3.442843841994050e+05, -8.243323373155974e+04, 1.348463058472342e+03, 0.000000000000000e+00, 0.000000000000000e+00, 8.326762183385707e+06
102, 1.560000004000000e-03, 6.917517506923035e-03, -7.334566915316584e+05, -3.377813330317064e+06, 1.308055311184506e+06, -8.500954884684332e+02, 0.000000000000000e+00, 0.000000000000000e+00, -5.248136859587855e+05
103, 3.049999941000000e-03, 9.605565346412577e-03, -6.196926251914242e+05, -1.510496338557280e+06, 1.228392783445275e+06, 9.196928683012006e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.938446216852909e+06
104, 5.040000193000000e-03, 1.226032473458219e-02, -7.775371619381465e+04, -3.082827866416388e+06, 2.620137884808433e+06, 3.217061692471442e+02, 0.000000000000000e+00, 0.000000000000000e+00, -1.736486603681161e+06
105, 7.519999985000000e-03, 1.486756313872443e-02, -4.076775689152445e+05, -1.034228666540754e+06, 8.786897683233611e+05, 9.044497172129901e+02, 0.000000000000000e+00, 0.000000000000000e+00, 9.598850864440675e+05
106, 1.049000024800000e-02, 1.742916196961543e-02, -8.732389762395245e+05, -9.783972754142623e+05, 8.445140837084632e+05, 1.402409250792123e+03, 0.000000000000000e+00, 0.000000000000000e+00, -4.049769958838055e+04
107, 1.394999958600000e-02, 1.994492353858276e-02, -5.643296870525966e+05, -9.192804012037546e+05, 1.491499771887289e+06, 2.248877187723321e+02, 0.000000000000000e+00, 0.000000000000000e+00, -7.588803314575561e+05
108, 1.789999939500000e-02, 2.241364555514381e-02, -8.541951103933519e+05, -9.824977890844899e+05, 1.646797279758189e+06, 3.167268134424553e+02, 0.000000000000000e+00, 0.000000000000000e+00, -5.046429234750640e+05
