"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
112, 3.844000026600000e-02, 3.171811260404538e-02, 1.101110471848756e+00, 3.342035236353580e+02, 1.213811446206827e+02, 2.598789579691955e+05
113, 4.473999887700000e-02, 3.389028465845557e-02, 1.078681934625269e+00, 3.377704275475091e+02, 1.106558065134867e+02, 2.552484655274133e+05
114, 5.149000138000000e-02, 3.599337852580232e-02, 1.058648353869234e+00, 3.403644127201995e+02, 1.009155589175942e+02, 2.510945633229759e+05
115, 5.869000032500000e-02, 3.802635805630503e-02, 1.040697686447604e+00, 3.422244326558455e+02, 9.205378938407559e+01, 2.473582201566244e+05
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.024359290258798e+00, 3.435223062741098e+02, 8.396117511770851e+01, 2.439459347730545e+05
117, 7.440000027400000e-02, 4.186607976498817e-02, 1.009114403301328e+00, 3.443497775361668e+02, 7.653365311471542e+01, 2.407502945508214e+05
118, 8.290000259900000e-02, 4.366791468532204e-02, 9.947382124036188e-01, 3.448209047277328e+02, 6.970078680492416e+01, 2.377291613787826e+05
119, 9.181000292300000e-02, 4.538527151431038e-02, 9.811407236875611e-01, 3.449982553709696e+02, 6.338351224905517e+01, 2.348642160730575e+05
120, 1.011300012470000e-01, 4.701715290498424e-02, 9.684230100201843e-01, 3.449366457983566e+02, 5.752686512533779e+01, 2.321766248847077e+05
121, 1.108499988910000e-01, 4.856066993422563e-02, 9.567974861621482e-01, 3.447243108961632e+02, 5.208644037309055e+01, 2.297142865800628e+05
122, 1.209499984980000e-01, 5.001187382363489e-02, 9.462001160917063e-01, 3.444079746842487e+02, 4.701388602315033e+01, 2.274654517726069e+05
123, 1.314399987460000e-01, 5.137133628795417e-02, 9.360423213775547e-01, 3.439145423046444e+02, 4.226501761485300e+01, 2.253007916953640e+05
124, 1.422899961470000e-01, 5.263443049277360e-02, 9.259493834351670e-01, 3.433089043091898e+02, 3.780976338042541e+01, 2.231495277753964e+05
125, 1.534900069240000e-01, 5.379977779145956e-02, 9.159155729290959e-01, 3.425537362841534e+02, 3.361786274821205e+01, 2.210049937559469e+05
126, 1.650400012730000e-01, 5.486709202536137e-02, 9.066180039528862e-01, 3.417889773152038e+02, 2.967846993711578e+01, 2.190168676410150e+05
127, 1.769299954180000e-01, 5.583513598033686e-02, 8.980973596207638e-01, 3.409715842296141e+02, 2.596461843411426e+01, 2.171871027041675e+05
128, 1.891400069000000e-01, 5.670228146432130e-02, 8.901296895499352e-01, 3.401615361726160e+02, 2.246159904456109e+01, 2.154760183454902e+05
129, 2.016600072380000e-01, 5.746811193675738e-02, 8.822086653636320e-01, 3.392538179607535e+02, 1.914839605729360e+01, 2.137698008601815e+05
130, 2.144699990750000e-01, 5.813197420944613e-02, 8.744495335919024e-01, 3.383232390837365e+02, 1.601461813380788e+01, 2.120989936147622e+05
131, 2.275699973110000e-01, 5.869456802648413e-02, 8.670860265211037e-01, 3.373581812095799e+02, 1.304933238825120e+01, 2.105083064407267e+05
132, 2.409400045870000e-01, 5.915585896897953e-02, 8.604995786952521e-01, 3.364771113759891e+02, 1.024398374134499e+01, 2.090862429115181e+05
133, 2.545700073240000e-01, 5.951657836311273e-02, 8.546206401248236e-01, 3.356387679773820e+02, 7.586305896502923e+00, 2.078136045897045e+05
134, 2.684499919410000e-01, 5.977765596976551e-02, 8.493727041597516e-01, 3.348741541989477e+02, 5.068310478444492e+00, 2.066780056674372e+05
135, 2.825500071050000e-01, 5.994005483718394e-02, 8.444982075055305e-01, 3.341256150583689e+02, 2.678702800537560e+00, 2.056212100297798e+05
136, 2.968699932100000e-01, 6.000550062925582e-02, 8.398404753437182e-01, 3.333776274840854e+02, 4.113447514778447e-01, 2.046099198066902e+05
137, 3.113999962810000e-01, 5.997565198183213e-02, 8.353544949376139e-01, 3.326420894732588e+02, -1.740069854561421e+00, 2.036362188805157e+05
138, 3.261100053790000e-01, 5.985254444802346e-02, 8.309036235386902e-01, 3.318646233090833e+02, -3.781559374865930e+00, 2.026665254469930e+05
139, 3.409900069240000e-01, 5.963847719943702e-02, 8.265510821372613e-01, 3.311040926798216e+02, -5.718587336958367e+00, 2.017198554312584e+05
140, 3.560400009160000e-01, 5.933561549045978e-02, 8.222767955834545e-01, 3.303342073069621e+02, -7.555237390675677e+00, 2.007890163187156e+05
141, 3.712300062180000e-01, 5.894684318665333e-02, 8.183321053417528e-01, 3.296068242550808e+02, -9.298220095895335e+00, 1.999295310802403e+05
142, 3.865399956700000e-01, 5.847520956655861e-02, 8.148220236820152e-01, 3.289254955869861e+02, -1.095277984890379e+01, 1.991623602367867e+05
